0.000,1.012,1.027,0.960,0.963,1.342,1.411,1.150,1.262,1.024,1.106,1.464,1.234,0.795,1.001,2.036,0.626,1.074,1.011,0.939,0.962,1.495,0.967,1.137,0.767
1.012,0.000,1.106,1.424,1.304,1.214,1.193,1.151,0.749,1.462,0.900,0.999,1.317,1.163,1.460,1.170,0.961,1.027,1.364,1.002,0.714,0.919,1.079,1.340,0.975
1.027,1.106,0.000,1.571,1.125,1.373,1.297,1.692,1.421,1.067,1.016,1.368,1.357,1.330,1.187,1.521,1.005,1.498,1.605,1.324,1.109,1.101,1.317,1.636,1.182
0.960,1.424,1.571,0.000,1.102,0.961,1.444,1.259,1.843,0.888,1.081,1.234,0.911,0.725,0.884,1.231,0.876,1.093,0.909,1.123,1.122,1.147,1.011,0.877,1.081
0.963,1.304,1.125,1.102,0.000,1.054,1.509,1.351,1.866,1.164,0.877,1.160,1.010,1.316,0.840,1.698,0.707,1.253,1.348,1.301,1.293,1.284,1.107,1.245,0.966
1.342,1.214,1.373,0.961,1.054,0.000,1.332,1.068,1.791,1.024,0.833,1.261,0.897,1.157,1.261,1.285,1.249,1.118,1.407,1.170,0.949,1.267,1.025,1.188,1.105
1.411,1.193,1.297,1.444,1.509,1.332,0.000,1.547,1.454,1.167,0.734,1.177,1.381,1.177,1.558,1.214,1.391,1.473,1.601,1.299,1.137,1.124,0.979,1.346,1.203
1.150,1.151,1.692,1.259,1.351,1.068,1.547,0.000,1.459,1.497,1.163,1.383,1.426,1.156,1.521,2.034,1.191,1.103,1.471,1.283,1.058,1.384,0.777,1.114,1.032
1.262,0.749,1.421,1.843,1.866,1.791,1.454,1.459,0.000,2.048,1.477,1.123,1.808,1.530,2.039,1.333,1.454,1.609,1.786,1.594,1.088,1.085,1.441,1.713,1.222
1.024,1.462,1.067,0.888,1.164,1.024,1.167,1.497,2.048,0.000,0.941,1.638,0.716,1.124,0.824,1.327,0.886,1.168,1.200,1.034,1.216,1.225,0.907,1.273,1.223
1.106,0.900,1.016,1.081,0.877,0.833,0.734,1.163,1.477,0.941,0.000,1.161,1.014,0.868,1.088,1.056,0.840,0.901,1.220,0.997,0.806,1.238,1.125,1.093,1.106
1.464,0.999,1.368,1.234,1.160,1.261,1.177,1.383,1.123,1.638,1.161,0.000,1.155,0.989,1.508,1.173,1.337,1.669,1.655,1.474,0.823,1.202,1.057,1.397,1.254
1.234,1.317,1.357,0.911,1.010,0.897,1.381,1.426,1.808,0.716,1.014,1.155,0.000,0.813,0.723,1.249,1.036,1.194,1.443,1.177,0.990,1.205,1.038,1.377,1.183
0.795,1.163,1.330,0.725,1.316,1.157,1.177,1.156,1.530,1.124,0.868,0.989,0.813,0.000,0.918,1.450,1.075,1.395,1.368,1.283,0.737,1.291,1.059,1.189,1.286
1.001,1.460,1.187,0.884,0.840,1.261,1.558,1.521,2.039,0.824,1.088,1.508,0.723,0.918,0.000,1.712,0.821,1.449,1.387,1.215,1.276,1.267,1.229,1.388,1.175
2.036,1.170,1.521,1.231,1.698,1.285,1.214,2.034,1.333,1.327,1.056,1.173,1.249,1.450,1.712,0.000,1.728,1.516,1.909,1.633,1.298,1.199,1.799,1.623,1.793
0.626,0.961,1.005,0.876,0.707,1.249,1.391,1.191,1.454,0.886,0.840,1.337,1.036,1.075,0.821,1.728,0.000,0.964,0.979,0.874,1.080,1.183,1.022,0.890,0.749
1.074,1.027,1.498,1.093,1.253,1.118,1.473,1.103,1.609,1.168,0.901,1.669,1.194,1.395,1.449,1.516,0.964,0.000,0.939,0.904,1.197,1.533,1.121,0.987,1.106
1.011,1.364,1.605,0.909,1.348,1.407,1.601,1.471,1.786,1.200,1.220,1.655,1.443,1.368,1.387,1.909,0.979,0.939,0.000,0.957,1.314,1.493,1.210,0.725,1.049
0.939,1.002,1.324,1.123,1.301,1.170,1.299,1.283,1.594,1.034,0.997,1.474,1.177,1.283,1.215,1.633,0.874,0.904,0.957,0.000,1.093,1.034,1.095,0.992,0.970
0.962,0.714,1.109,1.122,1.293,0.949,1.137,1.058,1.088,1.216,0.806,0.823,0.990,0.737,1.276,1.298,1.080,1.197,1.314,1.093,0.000,0.913,0.670,1.197,1.197
1.495,0.919,1.101,1.147,1.284,1.267,1.124,1.384,1.085,1.225,1.238,1.202,1.205,1.291,1.267,1.199,1.183,1.533,1.493,1.034,0.913,0.000,1.044,1.181,1.061
0.967,1.079,1.317,1.011,1.107,1.025,0.979,0.777,1.441,0.907,1.125,1.057,1.038,1.059,1.229,1.799,1.022,1.121,1.210,1.095,0.670,1.044,0.000,0.988,0.917
1.137,1.340,1.636,0.877,1.245,1.188,1.346,1.114,1.713,1.273,1.093,1.397,1.377,1.189,1.388,1.623,0.890,0.987,0.725,0.992,1.197,1.181,0.988,0.000,0.956
0.767,0.975,1.182,1.081,0.966,1.105,1.203,1.032,1.222,1.223,1.106,1.254,1.183,1.286,1.175,1.793,0.749,1.106,1.049,0.970,1.197,1.061,0.917,0.956,0.000
