0.000,1.340,1.291,1.096,1.101,0.957,1.032,1.071,1.246,0.933
1.340,0.000,1.873,2.047,1.406,1.102,2.126,0.825,1.471,1.247
1.291,1.873,0.000,1.117,1.366,1.339,1.060,1.797,1.658,1.530
1.096,2.047,1.117,0.000,1.103,1.332,0.948,1.512,1.074,1.228
1.101,1.406,1.366,1.103,0.000,0.920,1.374,1.414,1.248,1.070
0.957,1.102,1.339,1.332,0.920,0.000,1.493,1.258,1.309,1.272
1.032,2.126,1.060,0.948,1.374,1.493,0.000,1.377,1.659,1.435
1.071,0.825,1.797,1.512,1.414,1.258,1.377,0.000,1.141,1.233
1.246,1.471,1.658,1.074,1.248,1.309,1.659,1.141,0.000,1.089
0.933,1.247,1.530,1.228,1.070,1.272,1.435,1.233,1.089,0.000
