3.913,4.620,4.034,3.813,4.102,4.193,3.594,3.994,4.180,4.063
3.426,4.213,3.668,3.316,3.762,3.772,3.055,3.681,3.810,3.635
4.384,5.127,4.636,4.279,4.648,4.697,4.076,4.610,4.754,4.594
3.963,4.634,4.216,3.893,4.204,4.188,3.631,4.117,4.327,4.134
4.725,5.456,4.997,4.624,5.045,5.032,4.364,4.922,5.114,4.938
4.302,5.041,4.522,4.194,4.607,4.588,3.913,4.474,4.643,4.477
4.096,4.868,4.235,3.990,4.345,4.419,3.703,4.261,4.416,4.248
3.720,4.426,3.843,3.638,3.914,4.047,3.408,3.832,4.031,3.883
4.507,5.219,4.801,4.417,4.844,4.843,4.177,4.654,4.911,4.746
4.327,5.068,4.530,4.230,4.580,4.640,3.969,4.521,4.679,4.504
