0.000,1.281,1.587,1.587,1.929,1.566,1.039,1.183,1.579,1.473
1.281,0.000,1.300,1.615,1.493,1.119,1.340,1.106,1.586,1.068
1.587,1.300,0.000,1.061,1.087,1.013,1.542,1.698,1.415,0.945
1.587,1.615,1.061,0.000,1.451,1.834,1.579,1.801,1.485,1.430
1.929,1.493,1.087,1.451,0.000,1.203,1.430,1.889,0.658,1.019
1.566,1.119,1.013,1.834,1.203,0.000,1.521,1.472,1.156,0.934
1.039,1.340,1.542,1.579,1.430,1.521,0.000,0.882,1.372,1.175
1.183,1.106,1.698,1.801,1.889,1.472,0.882,0.000,1.727,1.268
1.579,1.586,1.415,1.485,0.658,1.156,1.372,1.727,0.000,1.276
1.473,1.068,0.945,1.430,1.019,0.934,1.175,1.268,1.276,0.000
